"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
22581949,w4lc57jlk4n4d,15,65,,1762414643,2
22581950,w4lc57jlk4n4d,15,65,,1762414643,2
22581937,w4lc57jlk4n4d,16,64,,1762414633,2
22581938,w4lc57jlk4n4d,16,64,,1762414633,2
22581925,w4lc57jlk4n4d,15,62,,1762414623,2
22581926,w4lc57jlk4n4d,15,62,,1762414623,2
22581913,w4lc57jlk4n4d,13,62,,1762414613,2
22581914,w4lc57jlk4n4d,13,62,,1762414613,2
22581911,w4lc57jlk4n4d,13,62,,1762414612,2
22581912,w4lc57jlk4n4d,13,62,,1762414612,2
22581899,w4lc57jlk4n4d,0,0,,1762414603,2
