"id","device_id","time_stamp","left_right","breath","heart","turn_over","body_move","sit_up","init_status","bed_status","signal_quality"
22583138,w4lc57jlk4n4d,1762415637,0,15,75,0,0,0,0,0,0
22583125,w4lc57jlk4n4d,1762415627,0,15,74,0,0,0,0,0,0
22583126,w4lc57jlk4n4d,1762415627,0,15,74,0,0,0,0,0,0
22583113,w4lc57jlk4n4d,1762415617,0,15,71,0,0,0,0,0,0
22583114,w4lc57jlk4n4d,1762415617,0,15,71,0,0,0,0,0,0
22583101,w4lc57jlk4n4d,1762415607,0,15,73,0,0,0,0,0,0
22583102,w4lc57jlk4n4d,1762415607,0,15,73,0,0,0,0,0,0
22583097,w4lc57jlk4n4d,1762415603,0,15,71,0,0,0,0,0,0
22583098,w4lc57jlk4n4d,1762415603,0,15,71,0,0,0,0,0,0
22583087,w4lc57jlk4n4d,1762415597,0,15,73,0,0,0,0,0,0
22583088,w4lc57jlk4n4d,1762415597,0,15,73,0,0,0,0,0,0
22583075,w4lc57jlk4n4d,1762415587,0,15,75,0,0,0,0,0,0
22583076,w4lc57jlk4n4d,1762415587,0,15,75,0,0,0,0,0,0
22583063,w4lc57jlk4n4d,1762415577,0,14,75,0,0,0,0,0,0
22583064,w4lc57jlk4n4d,1762415577,0,14,75,0,0,0,0,0,0
22583051,w4lc57jlk4n4d,1762415566,0,15,75,0,0,0,0,0,0
22583052,w4lc57jlk4n4d,1762415566,0,15,75,0,0,0,0,0,0
22583039,w4lc57jlk4n4d,1762415556,0,15,76,0,0,0,0,0,0
22583040,w4lc57jlk4n4d,1762415556,0,15,76,0,0,0,0,0,0
22583027,w4lc57jlk4n4d,1762415546,0,15,76,0,0,0,0,0,0
22583028,w4lc57jlk4n4d,1762415546,0,15,76,0,0,0,0,0,0
22583015,w4lc57jlk4n4d,1762415536,0,15,74,0,0,0,0,0,0
22583016,w4lc57jlk4n4d,1762415536,0,15,74,0,0,0,0,0,0
22583003,w4lc57jlk4n4d,1762415526,0,14,71,0,0,0,0,0,0
22583004,w4lc57jlk4n4d,1762415526,0,14,71,0,0,0,0,0,0
22582991,w4lc57jlk4n4d,1762415516,0,14,76,0,0,0,0,0,0
22582992,w4lc57jlk4n4d,1762415516,0,14,76,0,0,0,0,0,0
22582979,w4lc57jlk4n4d,1762415506,0,15,75,0,0,0,0,0,0
22582980,w4lc57jlk4n4d,1762415506,0,15,75,0,0,0,0,0,0
22582967,w4lc57jlk4n4d,1762415496,0,15,79,0,0,0,0,0,0
22582968,w4lc57jlk4n4d,1762415496,0,15,79,0,0,0,0,0,0
22582955,w4lc57jlk4n4d,1762415486,0,15,74,0,0,0,0,0,0
22582956,w4lc57jlk4n4d,1762415486,0,15,74,0,0,0,0,0,0
22582943,w4lc57jlk4n4d,1762415476,0,15,75,0,0,0,0,0,0
22582944,w4lc57jlk4n4d,1762415476,0,15,75,0,0,0,0,0,0
22582931,w4lc57jlk4n4d,1762415466,0,15,74,0,0,0,0,0,0
22582932,w4lc57jlk4n4d,1762415466,0,15,74,0,0,0,0,0,0
22582919,w4lc57jlk4n4d,1762415456,0,15,71,0,0,0,0,0,0
22582920,w4lc57jlk4n4d,1762415456,0,15,71,0,0,0,0,0,0
22582907,w4lc57jlk4n4d,1762415446,0,15,73,0,0,0,0,0,0
22582908,w4lc57jlk4n4d,1762415446,0,15,73,0,0,0,0,0,0
22582895,w4lc57jlk4n4d,1762415436,0,15,72,0,0,0,0,0,0
22582896,w4lc57jlk4n4d,1762415436,0,15,72,0,0,0,0,0,0
22582883,w4lc57jlk4n4d,1762415426,0,15,73,0,0,0,0,0,0
22582884,w4lc57jlk4n4d,1762415426,0,15,73,0,0,0,0,0,0
22582871,w4lc57jlk4n4d,1762415416,0,15,74,0,0,0,0,0,0
22582872,w4lc57jlk4n4d,1762415416,0,15,74,0,0,0,0,0,0
22582859,w4lc57jlk4n4d,1762415406,0,15,75,0,0,0,0,0,0
22582860,w4lc57jlk4n4d,1762415406,0,15,75,0,0,0,0,0,0
22582847,w4lc57jlk4n4d,1762415396,0,15,73,0,0,0,0,0,0
22582848,w4lc57jlk4n4d,1762415396,0,15,73,0,0,0,0,0,0
22582835,w4lc57jlk4n4d,1762415386,0,14,73,0,0,0,0,0,0
22582836,w4lc57jlk4n4d,1762415386,0,14,73,0,0,0,0,0,0
22582823,w4lc57jlk4n4d,1762415376,0,14,74,0,0,0,0,0,0
22582824,w4lc57jlk4n4d,1762415376,0,14,74,0,0,0,0,0,0
22582811,w4lc57jlk4n4d,1762415366,0,15,76,0,0,0,0,0,0
22582812,w4lc57jlk4n4d,1762415366,0,15,76,0,0,0,0,0,0
22582799,w4lc57jlk4n4d,1762415356,0,14,76,0,0,0,0,0,0
22582800,w4lc57jlk4n4d,1762415356,0,14,76,0,0,0,0,0,0
22582787,w4lc57jlk4n4d,1762415346,0,14,74,0,0,0,0,0,0
22582788,w4lc57jlk4n4d,1762415346,0,14,74,0,0,0,0,0,0
22582775,w4lc57jlk4n4d,1762415336,0,15,73,0,0,0,0,0,0
22582776,w4lc57jlk4n4d,1762415336,0,15,73,0,0,0,0,0,0
22582763,w4lc57jlk4n4d,1762415326,0,14,75,0,0,0,0,0,0
22582764,w4lc57jlk4n4d,1762415326,0,14,75,0,0,0,0,0,0
22582751,w4lc57jlk4n4d,1762415316,0,15,74,0,0,0,0,0,0
22582752,w4lc57jlk4n4d,1762415316,0,15,74,0,0,0,0,0,0
22582741,w4lc57jlk4n4d,1762415306,0,14,76,0,0,0,0,0,0
